id,organization_id,title,category,severity,status,business_impact,technical_explanation,potential_consequence,recommended_action,risk_score,confidence,estimated_effort_min,risk_reduction,priority_score,priority_label,affected_assets,attack_path,blast_radius_level,blast_radius_assets,remediation_steps,detected_by,created_at,resolved_at
finding_seed_1,org-acme-01,Public Database Exposure: Production PostgreSQL on Port 5432,Infrastructure,CRITICAL,OPEN,"Your customer database appears to be directly accessible from the public internet. If an attacker connects, customer names, passwords, and order records could be stolen or held for ransom.",AWS RDS instance 'production-postgres-01' has PubliclyAccessible=True and security group ingress allows 0.0.0.0/0 on port 5432.,"Catastrophic data breach, total customer database exfiltration, GDPR regulatory fines.",Remove public access and restrict database connections exclusively to your application private subnet.,96.0,0.99,25,55.0,132.0,VERY HIGH,"[""rds-postgres-prod"", ""data-customer-pii""]","[{""id"": ""node-internet"", ""name"": ""Public Internet"", ""type"": ""Domain""}, {""id"": ""rds-postgres-prod"", ""name"": ""Production PostgreSQL (Port 5432)"", ""type"": ""Database""}, {""id"": ""data-customer-pii"", ""name"": ""Customer PII & Order Records"", ""type"": ""DataAsset""}]",CRITICAL,"[""Production PostgreSQL"", ""Customer PII & Order Records""]","[""Open AWS RDS Console -> Databases -> production-postgres-01 -> Modify"", ""Under Connectivity, toggle 'Public access' to 'No'"", ""Set Security Group inbound rules to allow TCP 5432 only from sg-ecommerce-api"", ""Verify database connection string inside ecommerce-api container""]",exposure_agent,2026-09-11 10:57:58.783997,
finding_seed_2,org-acme-01,Dormant Administrator Account: Dev Ops Admin (Contractor),Identity,CRITICAL,OPEN,"A contractor account with full administrative AWS rights has not been used for 142 days and has no two-step verification. If credentials leaked, an attacker has full company control.","Identity 'dev.admin@acmeretail.example' has AdministratorAccess IAM role, last login 142 days ago, and MFA is disabled.",Silent administrative persistence and stealth data extraction.,Deactivate or delete the account and revoke all associated AWS IAM access keys.,92.0,0.99,5,45.0,540.0,VERY HIGH,"[""user-contractor-admin"", ""iam-admin-role""]","[{""id"": ""user-contractor-admin"", ""name"": ""Dev Ops Admin"", ""type"": ""User""}, {""id"": ""iam-admin-role"", ""name"": ""AWS AdministratorAccess"", ""type"": ""IAMRole""}, {""id"": ""cloud-aws-prod"", ""name"": ""AWS Production Account"", ""type"": ""CloudAccount""}]",CRITICAL,"[""AWS Production Account"", ""All Infrastructure""]","[""Deactivate dev.admin@acmeretail.example in Google Workspace Admin"", ""Delete AWS IAM user and access keys in AWS Console -> IAM"", ""Confirm contractor offboarding signoff""]",identity_agent,2026-09-11 10:57:58.785011,
finding_seed_3,org-acme-01,Administrator Account Missing MFA: Dev Ops Admin,Identity,HIGH,OPEN,"One or more administrator accounts do not have Multi-Factor Authentication enabled, making them susceptible to phishing.",Account 'dev.admin@acmeretail.example' has administrative privileges but no TOTP or hardware FIDO2 factor configured.,Single password compromise immediately yields root or admin level access.,Enforce organization-wide mandatory two-step verification.,82.0,0.98,10,40.0,240.0,VERY HIGH,"[""user-contractor-admin""]",[],HIGH,"[""Google Workspace"", ""AWS Console""]","[""Enable 2-Step Verification enforcement in Google Workspace Admin Console"", ""Require security keys or Google Authenticator app""]",identity_agent,2026-09-11 10:57:58.787395,
finding_seed_4,org-acme-01,Unused Third-Party OAuth Integration Retains Data Write Access,Third-Party,HIGH,OPEN,A marketing analytics bot hasn't been active in 3 months but still has permission to read user profiles and write files in your corporate workspace.,"Legacy Marketing Analytics Bot OAuth client has inactive_days=95 with scopes ['admin.directory.user.readonly', 'drive.file.write'].",Supply chain compromise if the third-party analytics SaaS vendor suffers an intrusion.,Revoke OAuth client authorization in your Google Workspace Admin marketplace panel.,72.0,0.95,10,30.0,180.0,HIGH,"[""saas-analytics-bot""]",[],MEDIUM,"[""Google Drive"", ""Employee Directory""]","[""Navigate to Security -> Access and data control -> API controls"", ""Locate Legacy Marketing Analytics Bot and click 'Block / Revoke Access'""]",third_party_agent,2026-09-11 10:57:58.788548,
finding_seed_5,org-acme-01,Weak Email Security: DMARC Policy Set to 'none',Infrastructure,MEDIUM,OPEN,Your email domain can be spoofed by attackers sending fake customer invoices or impersonating executives to your suppliers.,DNS TXT record _dmarc.acmeretail.example specifies 'p=none' without rejection or quarantine enforcement.,"CEO fraud, fake invoice phishing, and email spoofing under your brand.",Upgrade DMARC policy from 'p=none' to 'p=quarantine' or 'p=reject'.,52.0,0.95,15,20.0,80.0,MEDIUM,"[""dns-dmarc-record""]",[],MEDIUM,"[""acmeretail.example""]","[""Open DNS management in Cloudflare"", ""Update TXT record for _dmarc to 'v=DMARC1; p=reject; sp=reject; aspf=r;'"", ""Check DMARC reports inbox""]",exposure_agent,2026-09-11 10:57:58.789545,
find_369cd40878,org-acme-01,Vulnerable Dependency in Application: lodash@4.17.20,Dependencies,HIGH,OPEN,Your application depends on an insecure component (lodash@4.17.20). An attacker could exploit this known flaw to disrupt your online store or access internal services.,"lodash@4.17.20 is vulnerable to CVE-2021-23337 (CVSS 7.5, CWE-78). Prototype pollution in lodash leads to remote code execution or denial of service.","Remote code execution, prototype pollution, or denial of service.",Upgrade package lodash@4.17.20 to version 4.17.21 or higher.,71.2,0.98,15,35.0,140.0,VERY HIGH,"[""dep-lodash-4.17.20""]",[],MEDIUM,"[""dep-lodash-4.17.20""]","[""Update package.json / requirements.txt to 4.17.21"", ""Run test suite to verify no breaking API changes"", ""Redeploy application and generate fresh SBOM""]",sbom_agent,2026-09-11 11:03:54.279779,
find_bdfb4d23ff,org-acme-01,Vulnerable Dependency in Application: jsonwebtoken@8.5.1,Dependencies,CRITICAL,OPEN,Your application depends on an insecure component (jsonwebtoken@8.5.1). An attacker could exploit this known flaw to disrupt your online store or access internal services.,"jsonwebtoken@8.5.1 is vulnerable to CVE-2022-23529 (CVSS 9.8, CWE-94). Arbitrary code execution through untrusted key objects in jsonwebtoken verify function.","Remote code execution, prototype pollution, or denial of service.",Upgrade package jsonwebtoken@8.5.1 to version 9.0.0 or higher.,93.1,0.98,15,35.0,140.0,VERY HIGH,"[""dep-jsonwebtoken-8.5.1""]",[],HIGH,"[""dep-jsonwebtoken-8.5.1""]","[""Update package.json / requirements.txt to 9.0.0"", ""Run test suite to verify no breaking API changes"", ""Redeploy application and generate fresh SBOM""]",sbom_agent,2026-09-11 11:03:54.282334,
find_863733398d,org-acme-01,Vulnerable Dependency in Application: express@4.18.2,Dependencies,MEDIUM,OPEN,Your application depends on an insecure component (express@4.18.2). An attacker could exploit this known flaw to disrupt your online store or access internal services.,"express@4.18.2 is vulnerable to CVE-2024-43796 (CVSS 5.3, CWE-79). Open redirect and cross-site scripting via malformed path handling.","Remote code execution, prototype pollution, or denial of service.",Upgrade package express@4.18.2 to version 4.21.0 or higher.,50.4,0.98,15,35.0,140.0,VERY HIGH,"[""dep-express-4.18.2""]",[],MEDIUM,"[""dep-express-4.18.2""]","[""Update package.json / requirements.txt to 4.21.0"", ""Run test suite to verify no breaking API changes"", ""Redeploy application and generate fresh SBOM""]",sbom_agent,2026-09-11 11:03:54.286786,
find_a1949d59da,org-acme-01,Vulnerable Dependency in Application: axios@1.5.0,Dependencies,MEDIUM,OPEN,Your application depends on an insecure component (axios@1.5.0). An attacker could exploit this known flaw to disrupt your online store or access internal services.,"axios@1.5.0 is vulnerable to CVE-2023-45857 (CVSS 6.5, CWE-444). Cross-Site Request Forgery (CSRF) vulnerability via absolute URLs.","Remote code execution, prototype pollution, or denial of service.",Upgrade package axios@1.5.0 to version 1.6.0 or higher.,61.8,0.98,15,35.0,140.0,VERY HIGH,"[""dep-axios-1.5.0""]",[],MEDIUM,"[""dep-axios-1.5.0""]","[""Update package.json / requirements.txt to 1.6.0"", ""Run test suite to verify no breaking API changes"", ""Redeploy application and generate fresh SBOM""]",sbom_agent,2026-09-11 11:03:54.289616,
find_d8d1864c6e,org-acme-01,Extensive Blast Radius: Compromise of ecommerce-api Reaches Sensitive Data,Infrastructure,CRITICAL,OPEN,"A security breach in 'ecommerce-api' would directly expose your critical business data (payment-service, Production PostgreSQL (Port 5432), acme-product-images, Customer PII & Order Records, acme-database-backups). An attacker could steal sensitive customer records, financial transactions, or credentials.","Asset 'ecommerce-api' (Application) maintains direct or transitive network/authorization relationships to high-value data nodes (payment-service, Production PostgreSQL (Port 5432), acme-product-images, Customer PII & Order Records, acme-database-backups) across 14 graph hops.","Mass customer data leak, regulatory penalties (GDPR/PCI-DSS), and reputational loss.","Enforce strict network segmentation and least-privilege IAM policies between ecommerce-api and payment-service, Production PostgreSQL (Port 5432), acme-product-images, Customer PII & Order Records, acme-database-backups.",88.0,0.96,45,48.0,64.0,VERY HIGH,"[""app-ecommerce-api"", ""dep-lodash-4.17.20"", ""srv-k8s-cluster"", ""dep-express-4.18.2"", ""dep-axios-1.5.0"", ""dep-jsonwebtoken-8.5.1"", ""app-payment-service"", ""rds-postgres-prod"", ""s3-product-images""]",[],CRITICAL,"[""payment-service"", ""Production PostgreSQL (Port 5432)"", ""acme-product-images"", ""Customer PII & Order Records"", ""acme-database-backups""]","[""Isolate ecommerce-api into a private VPC or restrict ingress firewall rules"", ""Revoke direct access permissions to payment-service, Production PostgreSQL (Port 5432), acme-product-images, Customer PII & Order Records, acme-database-backups"", ""Implement application-level tokenization or field encryption""]",blast_radius_agent,2026-09-11 11:03:54.289616,
