id,organization_id,name,type,source,environment,owner,confidence,risk_level,is_internet_facing,has_sensitive_data,tags,metadata_json,created_at,updated_at
node-internet,org-acme-01,Public Internet,Domain,discovery,production,,1.0,LOW,1,0,[],"{""cidr"": ""0.0.0.0/0""}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
app-ecommerce-api,org-acme-01,ecommerce-api,Application,github,production,sarah.tech@acmeretail.example,1.0,MEDIUM,1,0,"[""web"", ""api"", ""nodejs""]","{""runtime"": ""Node.js 20"", ""repo"": ""https://github.com/acmeretail/ecommerce-api""}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
app-admin-dashboard,org-acme-01,admin-dashboard,Application,github,production,sarah.tech@acmeretail.example,1.0,LOW,0,0,"[""internal"", ""react""]","{""runtime"": ""Next.js 14""}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
app-payment-service,org-acme-01,payment-service,Service,github,production,sarah.tech@acmeretail.example,1.0,HIGH,0,1,"[""pci-dss"", ""payments""]","{""processor"": ""Stripe API""}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
rds-postgres-prod,org-acme-01,Production PostgreSQL (Port 5432),Database,aws,production,devops@acmeretail.example,1.0,CRITICAL,1,1,"[""rds"", ""postgres"", ""customer-pii""]","{""port"": 5432, ""publicly_accessible"": true, ""endpoint"": ""acme-prod-db.c91a.us-east-1.rds.amazonaws.com"", ""tables"": [""customers"", ""orders"", ""payment_tokens"", ""user_credentials""]}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
s3-customer-backups,org-acme-01,acme-database-backups,StorageBucket,aws,production,devops@acmeretail.example,1.0,MEDIUM,0,1,"[""aws-s3"", ""backups"", ""encrypted""]","{""versioning"": true, ""encryption"": ""AES-256""}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
s3-product-images,org-acme-01,acme-product-images,StorageBucket,aws,production,sarah.tech@acmeretail.example,1.0,LOW,1,0,"[""public-cdn""]","{""public_read"": true}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
data-customer-pii,org-acme-01,Customer PII & Order Records,DataAsset,discovery,production,alex.founder@acmeretail.example,1.0,CRITICAL,0,1,"[""gdpr"", ""ccpa"", ""crown-jewel""]","{""record_count"": 84200, ""classification"": ""Confidential""}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
srv-k8s-cluster,org-acme-01,EKS Production Cluster,Container,aws,production,devops@acmeretail.example,1.0,LOW,0,0,[],"{""nodes"": 3, ""k8s_version"": ""1.29""}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
user-alex-founder,org-acme-01,Alex Founder (CEO),User,google_workspace,production,,1.0,LOW,0,0,[],"{""email"": ""alex.founder@acmeretail.example"", ""is_admin"": true, ""mfa_enabled"": true}",2026-09-11 10:57:58.778614,2026-09-11 10:57:58.778614
